text_number	file_name	file_path	segment_start	segment_end	segment_text
a01-132	a01-132.png	/020/a01-132.png	726	891	”That cannot continue without either
a01-132	a01-132.png	/020/a01-132.png	906	1069	development being limited or an
a01-132	a01-132.png	/020/a01-132.png	1089	1255	adjustment being made in financing.”
a01-132	a01-132.png	/020/a01-132.png	1263	1427	The Government decided to adjust
a01-132	a01-132.png	/020/a01-132.png	1439	1604	the financing - which Mr. Powell
a01-132	a01-132.png	/020/a01-132.png	1622	1784	claimed was underpinning - not
a01-132	a01-132.png	/020/a01-132.png	1796	1962	undermining - the service. Answering the
a01-132	a01-132.png	/020/a01-132.png	1973	2144	attack on ”economic charges” for welfare
a01-132	a01-132.png	/020/a01-132.png	2145	2322	foods, Mr. Powell said that all these
a01-132	a01-132.png	/020/a01-132.png	2325	2498	foods would still be free in families
a01-132	a01-132.png	/020/a01-132.png	2508	2676	receiving regular National Assistance
a03-034	a03-034.png	/049/a03-034.png	691	853	Members of the Cabinet are basing their speeches on
a03-034	a03-034.png	/049/a03-034.png	864	1030	a new Conservative booklet called The Record Speaks
a03-034	a03-034.png	/049/a03-034.png	1045	1210	which outlines in some detail the accomplishments
a03-034	a03-034.png	/049/a03-034.png	1222	1391	of the party since it came to office three and
a03-034	a03-034.png	/049/a03-034.png	1400	1571	a half years ago. Nevertheless there is little
a03-034	a03-034.png	/049/a03-034.png	1574	1745	illusion in the Conservative Party that their
a03-034	a03-034.png	/049/a03-034.png	1756	1927	stock at home has fallen in the face of
a03-034	a03-034.png	/049/a03-034.png	1945	2109	heavy unemployment and an uncertain economy.
a03-037	a03-037.png	/050/a03-037.png	713	879	Last year saw the defeat of two Conservative
a03-037	a03-037.png	/050/a03-037.png	892	1060	provincial governments, Quebec and New Brunswick, and
a03-037	a03-037.png	/050/a03-037.png	1064	1238	in the four federal by-elections last October the party
a03-037	a03-037.png	/050/a03-037.png	1256	1443	fared badly. They are now faced with four other by-
a03-037	a03-037.png	/050/a03-037.png	1443	1621	elections, one at Esquimalt Saanich, British Columbia,
a03-037	a03-037.png	/050/a03-037.png	1621	1795	one in Leeds, Ontario, and the other two in the
a03-037	a03-037.png	/050/a03-037.png	1795	1978	Maritimes - Restigouche Madawaska, New Brunswick,
a03-037	a03-037.png	/050/a03-037.png	1978	2148	and Kings, Prince Edward Island.
a01-020	a01-020x.png	/010/a01-020x.png	856	1036	Mr. Macleod went on with the conference at
a01-020	a01-020x.png	/010/a01-020x.png	1038	1218	Lancaster House despite the crisis which had
a01-020	a01-020x.png	/010/a01-020x.png	1220	1397	blown up. He has now revealed his full plans
a01-020	a01-020x.png	/010/a01-020x.png	1397	1576	to the Africans and Liberals attending. These
a01-020	a01-020x.png	/010/a01-020x.png	1580	1759	plans do not give the Africans the overall majo-
a01-020	a01-020x.png	/010/a01-020x.png	1759	1934	rity they are seeking. African delegates are
a01-020	a01-020x.png	/010/a01-020x.png	1934	2110	studying them today. The conference will meet
a01-020	a01-020x.png	/010/a01-020x.png	2110	2296	to discuss the function of a proposed House
a01-020	a01-020x.png	/010/a01-020x.png	2299	2456	of Chiefs.
a01-030	a01-030x.png	/010/a01-030x.png	847	1035	Northern Rhodesia is a member of the Fede-
a01-030	a01-030x.png	/010/a01-030x.png	1037	1211	ration. Mr. Macleod was not at the week-end
a01-030	a01-030x.png	/010/a01-030x.png	1211	1392	meeting. But he told M Ps yesterday: ”I
a01-030	a01-030x.png	/010/a01-030x.png	1392	1573	have no knowledge of secret negotiations.” He
a01-030	a01-030x.png	/010/a01-030x.png	1573	1749	said Britain had an obligation to consult
a01-030	a01-030x.png	/010/a01-030x.png	1749	1926	the Federal Government. Mr. James Callaghan,
a01-030	a01-030x.png	/010/a01-030x.png	1927	2104	Labour’s Colonial spokesman, said Sir Roy had
a01-030	a01-030x.png	/010/a01-030x.png	2104	2283	no right to delay progress in the talks by
a01-030	a01-030x.png	/010/a01-030x.png	2283	2462	refusing to sit round the conference table.
a06-075	a06-075.png	/078/a06-075.png	690	845	”After long and earnest consideration, Her
a06-075	a06-075.png	/078/a06-075.png	845	982	Majesty’s Government have come to the
a06-075	a06-075.png	/078/a06-075.png	982	1119	conclusion that it would be right for
a06-075	a06-075.png	/078/a06-075.png	1119	1262	Britain to make a formal application..
a06-075	a06-075.png	/078/a06-075.png	1262	1421	for negotiations with a view to joining
a06-075	a06-075.png	/078/a06-075.png	1421	1589	the Community.” At this point, Mr. Paul
a06-075	a06-075.png	/078/a06-075.png	1589	1768	Williams (Cons., Sunderland) called out
a06-075	a06-075.png	/078/a06-075.png	1768	1949	”Shame.” Mr. Williams is a close
a06-075	a06-075.png	/078/a06-075.png	1949	2127	associate of Mr. Fell.
a01-063	a01-063x.png	/015/a01-063x.png	824	1025	But he said discussions ”on a higher
a01-063	a01-063x.png	/015/a01-063x.png	1025	1208	level than in the past” might be useful.
a01-063	a01-063x.png	/015/a01-063x.png	1208	1387	The President will probably discuss the
a01-063	a01-063x.png	/015/a01-063x.png	1387	1564	problem with Dr. Brentano, the West
a01-063	a01-063x.png	/015/a01-063x.png	1564	1743	German Foreign Minister, who is due in
a01-063	a01-063x.png	/015/a01-063x.png	1743	1924	Washington next week. A big slice of
a01-063	a01-063x.png	/015/a01-063x.png	1924	2097	Germany’s ”aid” is the early payment
a01-063	a01-063x.png	/015/a01-063x.png	2097	2276	of a 210million debt to America. United
a01-063	a01-063x.png	/015/a01-063x.png	2276	2465	States officials quickly point out that
a01-063	a01-063x.png	/015/a01-063x.png	2465	2693	this is money due to America anyway.
d01-052	d01-052.png	/177/d01-052.png	671	859	THE Fourth Gospel was almost certainly
d01-052	d01-052.png	/177/d01-052.png	859	1038	written in Greek. A modern text of the
d01-052	d01-052.png	/177/d01-052.png	1040	1221	Gospel represents the work of generations of
d01-052	d01-052.png	/177/d01-052.png	1221	1394	scholars who have compared the many manu-
d01-052	d01-052.png	/177/d01-052.png	1394	1574	scripts of John and worked out the version
d01-052	d01-052.png	/177/d01-052.png	1574	1750	which is most likely to have been the original
d01-052	d01-052.png	/177/d01-052.png	1750	1933	wording. It is not possible to establish any one
d01-052	d01-052.png	/177/d01-052.png	1933	2108	text with absolute precision.
d01-049	d01-049.png	/177/d01-049.png	855	1035	The one real weakness of the Commentator’s
d01-049	d01-049.png	/177/d01-049.png	1045	1220	case is that, in common with all his colleagues,
d01-049	d01-049.png	/177/d01-049.png	1220	1399	he has not, until now, been able to exhibit exactly
d01-049	d01-049.png	/177/d01-049.png	1400	1578	how this enlargement was effected nor has he
d01-049	d01-049.png	/177/d01-049.png	1578	1757	been able to explain the textual movements by
d01-049	d01-049.png	/177/d01-049.png	1757	1935	showing that such changes are part of a
d01-049	d01-049.png	/177/d01-049.png	1935	2115	simple and coherent plan. To understand how
d01-049	d01-049.png	/177/d01-049.png	2115	2293	this is possible it is necessary to examine the
d01-049	d01-049.png	/177/d01-049.png	2295	2464	text of the Gospel.
a03-059	a03-059.png	/054/a03-059.png	879	1060	Sentence Database
a03-059	a03-059.png	/054/a03-059.png	1060	1237	Mr. Pearson is now talking about ”his
a03-059	a03-059.png	/054/a03-059.png	1237	1419	new and dynamic liberalism” and this
a03-059	a03-059.png	/054/a03-059.png	1419	1596	week will show perhaps how far ”Mike
a03-059	a03-059.png	/054/a03-059.png	1596	1775	will go. The main topic under review is
a03-059	a03-059.png	/054/a03-059.png	1775	1951	unemployment, but there will be 21
a03-059	a03-059.png	/054/a03-059.png	1951	2131	committees examining subjects
a03-059	a03-059.png	/054/a03-059.png	2131	2317	ranging from foreign investment in
a03-059	a03-059.png	/054/a03-059.png	2317	2489	Canada to the problems of the Atlantic
a03-059	a03-059.png	/054/a03-059.png	2489	2670	provinces. However, be this election
d01-024	d01-024.png	/176/d01-024.png	723	893	Most of those who expound a theory of textual
d01-024	d01-024.png	/176/d01-024.png	903	1077	dislocation take it for granted that the Gospel was
d01-024	d01-024.png	/176/d01-024.png	1082	1251	written entirely by one author before the
d01-024	d01-024.png	/176/d01-024.png	1261	1431	disturbance took place but a few leave it open
d01-024	d01-024.png	/176/d01-024.png	1442	1611	to suppose that the original book had been
d01-024	d01-024.png	/176/d01-024.png	1621	1792	revised even before the upheaval. The ingenuity
d01-024	d01-024.png	/176/d01-024.png	1800	1970	of the theories is impressive and is the best
d01-024	d01-024.png	/176/d01-024.png	1983	2143	argument against them.
c04-105	c04-105.png	/167/c04-105.png	685	860	NEW boy on the vocal front is
c04-105	c04-105.png	/167/c04-105.png	860	1037	Rolly Daniels, who comes 5,000 miles
c04-105	c04-105.png	/167/c04-105.png	1045	1216	from India to seek disc fame. Comedian Hal
c04-105	c04-105.png	/167/c04-105.png	1227	1397	Monty saw him in Bombay, became his manager.
c04-105	c04-105.png	/167/c04-105.png	1405	1577	And such is Hal’s faith that he brings him to
c04-105	c04-105.png	/167/c04-105.png	1583	1758	Europe. Now Rolly gets his big break - a
c04-105	c04-105.png	/167/c04-105.png	1758	1934	record, the modern Aladdin’s lamp of
c04-105	c04-105.png	/167/c04-105.png	1965	2107	show business.
b06-059	b06-059.png	/130/b06-059.png	684	864	It would become easy to become cynical and
b06-059	b06-059.png	/130/b06-059.png	864	1039	to despair. And yet, wherever the issues were put
b06-059	b06-059.png	/130/b06-059.png	1039	1220	clearly, sections of the movement reaffirmed their
b06-059	b06-059.png	/130/b06-059.png	1220	1400	original stand. Only where the issues were
b06-059	b06-059.png	/130/b06-059.png	1400	1579	posed so as to cause doubt and confusion
b06-059	b06-059.png	/130/b06-059.png	1579	1754	were positions lost. It is my view that this
b06-059	b06-059.png	/130/b06-059.png	1754	1934	immediate confusion hides the fact that the
b06-059	b06-059.png	/130/b06-059.png	1934	2119	Peace movement is still advancing and that
b06-059	b06-059.png	/130/b06-059.png	2119	2294	clarification of the issues can bring a
b06-059	b06-059.png	/130/b06-059.png	2294	2476	majority to secure the Scarborough
b06-032	b06-032.png	/130/b06-032.png	648	851	All this has been achieved through Nato under
b06-032	b06-032.png	/130/b06-032.png	851	1031	American leadership. But a big role has been
b06-032	b06-032.png	/130/b06-032.png	1031	1209	played not only by the British Government but
b06-032	b06-032.png	/130/b06-032.png	1209	1390	by Right-Wing Labour in this country. They have
b06-032	b06-032.png	/130/b06-032.png	1390	1572	helped build up Nato and rearm Western Germany,
b06-032	b06-032.png	/130/b06-032.png	1572	1750	in pursuit of the old familiar anti-Soviet
b06-032	b06-032.png	/130/b06-032.png	1750	1934	policy which brought disaster in 1939.
c06-000	c06-000.png	/130/c06-000.png	656	856	IT is mid-morning on a Dublin Sunday. The streets
c06-000	c06-000.png	/130/c06-000.png	856	1036	are tranquilly sunny and still, for the town
c06-000	c06-000.png	/130/c06-000.png	1036	1218	is at Mass. Most of it. In the front room of
c06-000	c06-000.png	/130/c06-000.png	1219	1397	a house in Anglesey-road is a congregation who
c06-000	c06-000.png	/130/c06-000.png	1397	1571	never actually got to church, but who are
c06-000	c06-000.png	/130/c06-000.png	1571	1753	gathered with devotion around Brendan Behan
c06-000	c06-000.png	/130/c06-000.png	1753	1930	and a brandy bottle.
b06-079	b06-079.png	/130/b06-079.png	858	1037	It is impossible for Labour’s new Defence state-
b06-079	b06-079.png	/130/b06-079.png	1037	1215	ment to unite the movement as the Labour
b06-079	b06-079.png	/130/b06-079.png	1215	1393	leaders are not only in favour of American
b06-079	b06-079.png	/130/b06-079.png	1393	1573	bases, but are in favour of German bases and
b06-079	b06-079.png	/130/b06-079.png	1573	1755	troops being trained on British soil. The new
b06-079	b06-079.png	/130/b06-079.png	1755	1934	Defence statement, while accepting that Britain can-
b06-079	b06-079.png	/130/b06-079.png	1934	2113	not remain an independent nuclear Power, now
b06-079	b06-079.png	/130/b06-079.png	2113	2296	supports the policy of depending on American
b06-079	b06-079.png	/130/b06-079.png	2296	2481	nuclear weapons and the H-bomb, placing
c06-031	c06-031.png	/130/c06-031.png	669	853	I’m the only man on earth who doesn’t know
c06-031	c06-031.png	/130/c06-031.png	853	1031	what his name is. Don’t tell me. I want to
c06-031	c06-031.png	/130/c06-031.png	1031	1212	preserve that distinction. ”I already know about
c06-031	c06-031.png	/130/c06-031.png	1212	1397	Shepard and that Salvation Army chap Gagarin -
c06-031	c06-031.png	/130/c06-031.png	1397	1569	the two biggest bores since Cardinal Newman.
c06-031	c06-031.png	/130/c06-031.png	1569	1751	That’s enough of all that hooey.” HE plunges
c06-031	c06-031.png	/130/c06-031.png	1751	1927	on into reminiscences of his trips. There is
c06-031	c06-031.png	/130/c06-031.png	1944	2103	much to recall.
a04-047	a04-047.png	/061/a04-047.png	788	982	Addressing the annual congress of the National Union
a04-047	a04-047.png	/061/a04-047.png	982	1166	of General and Municipal Workers, he said he felt
a04-047	a04-047.png	/061/a04-047.png	1172	1340	sure the Labour movement was coming round in
a04-047	a04-047.png	/061/a04-047.png	1340	1521	support of his views. Obviously conscious of the fierce and
a04-047	a04-047.png	/061/a04-047.png	1521	1688	widespread resentment over the U.S. Polaris base in
a04-047	a04-047.png	/061/a04-047.png	1688	1875	Britain, Mr. Gaitskell said that he even noticed that
a04-047	a04-047.png	/061/a04-047.png	1875	2058	supporters of unilateral nuclear disarmament were changing
a04-047	a04-047.png	/061/a04-047.png	2058	2242	their tactics by switching most of their emphasis on
a04-047	a04-047.png	/061/a04-047.png	2249	2400	to the missile.
a04-059	a04-059.png	/061/a04-059.png	706	891	The party agreed that it was unwise to locate the base
a04-059	a04-059.png	/061/a04-059.png	891	1069	in the Holy Loch, only 30 miles from Glasgow, a
a04-059	a04-059.png	/061/a04-059.png	1069	1246	city with two million people. It should be sited
a04-059	a04-059.png	/061/a04-059.png	1246	1423	in a more remote area. Mr. Gaitskell added that
a04-059	a04-059.png	/061/a04-059.png	1423	1606	the Scarborough conference decisions did not, in his
a04-059	a04-059.png	/061/a04-059.png	1606	1789	view, truly reflect the opinions of the majority
a04-059	a04-059.png	/061/a04-059.png	1789	1969	of party members and still less the party’s
a04-059	a04-059.png	/061/a04-059.png	1977	2142	supporters in the country.
a04-050	a04-050.png	/061/a04-050.png	665	865	Mr. Gaitskell said that a member of an alliance could
a04-050	a04-050.png	/061/a04-050.png	872	1046	not deny facilities to nations to which it was
a04-050	a04-050.png	/061/a04-050.png	1048	1231	allied. But governments should be free to negotiate
a04-050	a04-050.png	/061/a04-050.png	1236	1412	and refuse proposals with which they did not
a04-050	a04-050.png	/061/a04-050.png	1414	1593	agree. The Labour Party opposed Thor missiles, because,
a04-050	a04-050.png	/061/a04-050.png	1595	1772	he said, they were out of date and vulnerable and
a04-050	a04-050.png	/061/a04-050.png	1781	1939	would attract enemy action.
a04-054	a04-054.png	/061/a04-054.png	699	876	That argument did not apply to the Polaris submarine.
a04-054	a04-054.png	/061/a04-054.png	885	1056	So long as the Soviet Union had nuclear weapons,
a04-054	a04-054.png	/061/a04-054.png	1060	1228	the West, somewhere, must have them too. It
a04-054	a04-054.png	/061/a04-054.png	1240	1418	was far better for a weapon used for retaliatory
a04-054	a04-054.png	/061/a04-054.png	1425	1593	purposes to be under the sea rather than on land.
a04-054	a04-054.png	/061/a04-054.png	1593	1768	This was why the Labour Party did not think it right
a04-054	a04-054.png	/061/a04-054.png	1780	1947	to oppose the Polaris depot ship.
a02-072	a02-072.png	/033/a02-072.png	894	1073	”He is not going to agree to be bound over. That will
a02-072	a02-072.png	/033/a02-072.png	1073	1255	probably mean jail and, though frail, he is very fit and
a02-072	a02-072.png	/033/a02-072.png	1255	1428	will take the rigours of prison in his stride. He
a02-072	a02-072.png	/033/a02-072.png	1428	1609	hopes to be allowed to do some writing.” Back at
a02-072	a02-072.png	/033/a02-072.png	1609	1786	the Press conference, Mr. Clark said two committee
a02-072	a02-072.png	/033/a02-072.png	1786	1962	members tried a ”plant” call on a suspect phone. They
a02-072	a02-072.png	/033/a02-072.png	1962	2143	discussed a sit-down at Watford at 5.30 p.m. - none
a02-072	a02-072.png	/033/a02-072.png	2144	2324	was planned but police turned up.
b01-027	b01-027.png	/089/b01-027.png	705	897	THE Queen and the Duke of Edinburgh come home
b01-027	b01-027.png	/089/b01-027.png	897	1074	tonight from their tour in the East. The duke’s
b01-027	b01-027.png	/089/b01-027.png	1074	1255	trigger-finger and the ritual slaughter of beasts
b01-027	b01-027.png	/089/b01-027.png	1255	1429	have taken the headlines in this country.
b01-027	b01-027.png	/089/b01-027.png	1429	1612	Nevertheless, the tour has been an immense
b01-027	b01-027.png	/089/b01-027.png	1613	1789	success. The Queen has won a triumph. It
b01-027	b01-027.png	/089/b01-027.png	1789	1968	would be pleasanter if such cruel and feudal
b01-027	b01-027.png	/089/b01-027.png	1971	2148	performances as tiger and rhino hunts were
b01-027	b01-027.png	/089/b01-027.png	2151	2335	dropped from future Royal programmes.
b01-033	b01-033.png	/089/b01-033.png	706	895	But the Queen and the Duke have pleased millions by
b01-033	b01-033.png	/089/b01-033.png	895	1072	their visit. The warmth of their welcome in India and
b01-033	b01-033.png	/089/b01-033.png	1072	1255	Pakistan are happy memories. WEST GERMANY - followed
b01-033	b01-033.png	/089/b01-033.png	1255	1434	yesterday by the Dutch - has made the gesture
b01-033	b01-033.png	/089/b01-033.png	1434	1615	of a good neighbour. She has put up the value
b01-033	b01-033.png	/089/b01-033.png	1624	1779	of her money.
b01-038	b01-038.png	/089/b01-038.png	719	899	Certainly, the rise is very small. But it is a step
b01-038	b01-038.png	/089/b01-038.png	899	1076	in the direction of live-and-let-live. Hopes
b01-038	b01-038.png	/089/b01-038.png	1076	1257	will now grow brighter of further international
b01-038	b01-038.png	/089/b01-038.png	1257	1432	co-operation, which is the only way to solve the
b01-038	b01-038.png	/089/b01-038.png	1432	1612	payments difficulties that upset the Western world.
b01-038	b01-038.png	/089/b01-038.png	1612	1789	Britain and the U.S., which have problems with
b01-038	b01-038.png	/089/b01-038.png	1789	1970	their balances, will gain some immediate help.
b01-038	b01-038.png	/089/b01-038.png	1970	2148	What it means in practical terms is that our
b01-038	b01-038.png	/089/b01-038.png	2148	2332	exports to Germany will now be a little cheaper
b01-038	b01-038.png	/089/b01-038.png	2332	2509	for Germans to buy, while the goods which
b01-038	b01-038.png	/089/b01-038.png	2509	2687	Germany exports will be made a little dearer.
c04-056	c04-056.png	/162/c04-056.png	722	905	I can’t recall a production where so many
c04-056	c04-056.png	/162/c04-056.png	905	1078	comics bolted in and out of holes so often.
c04-056	c04-056.png	/162/c04-056.png	1078	1253	The jokes were a reshuffle of the same old
c04-056	c04-056.png	/162/c04-056.png	1253	1435	lot - this time Brian Rix lost his skirt instead
c04-056	c04-056.png	/162/c04-056.png	1435	1618	of his trousers. The action moved at tremendous
c04-056	c04-056.png	/162/c04-056.png	1618	1797	speed, backed by some wonderful timing by
c04-056	c04-056.png	/162/c04-056.png	1797	1979	the cast. I especially liked the tea-cup
c04-056	c04-056.png	/162/c04-056.png	1979	2159	scene where six of the cast changed
c04-056	c04-056.png	/162/c04-056.png	2159	2342	cups with the dexterity of Chinese jugglers.
c04-050	c04-050.png	/162/c04-050.png	701	900	Their offering last night differed little
c04-050	c04-050.png	/162/c04-050.png	900	1076	from their earlier act on this show a week
c04-050	c04-050.png	/162/c04-050.png	1076	1258	or so ago. But the Mudlarks, with Jeff Mudd
c04-050	c04-050.png	/162/c04-050.png	1258	1432	out of the Army and back with sister Mary
c04-050	c04-050.png	/162/c04-050.png	1432	1611	and brother Fred, were in bright, zestful
c04-050	c04-050.png	/162/c04-050.png	1611	1791	form. Why only two numbers, though? It
c04-050	c04-050.png	/162/c04-050.png	1791	1967	was not enough. ”A FAIR COP,” the B B C
c04-050	c04-050.png	/162/c04-050.png	1967	2155	Whitehall farce last night, looked like
c04-050	c04-050.png	/162/c04-050.png	2155	2333	a rabbit warren in a field of corn.
b02-097	b02-097.png	/097/b02-097.png	690	851	To be able to say ”New York next week” is an
b02-097	b02-097.png	/097/b02-097.png	875	1036	miportant advance. We must not be overconfident
b02-097	b02-097.png	/097/b02-097.png	1049	1212	that this meeting will lead on to further
b02-097	b02-097.png	/097/b02-097.png	1229	1395	and decisive ones; but without it, we could not
b02-097	b02-097.png	/097/b02-097.png	1409	1573	look for them. Federal Germany votes tomorrow and
b02-097	b02-097.png	/097/b02-097.png	1592	1755	not a day too soon. There can seldom have
b02-097	b02-097.png	/097/b02-097.png	1767	1930	ieen an election campaign which more people
b02-097	b02-097.png	/097/b02-097.png	1950	2113	ni and out of the country wanted to see over
b02-097	b02-097.png	/097/b02-097.png	2272	2708	and done with.
b01-136	b01-136.png	/094/b01-136.png	695	895	Unless they do at least that, Dr. Verwoerd will
b01-136	b01-136.png	/094/b01-136.png	895	1072	be able to return home claiming a triumph.
b01-136	b01-136.png	/094/b01-136.png	1072	1250	His smile will be blander than ever. WE are in
b01-136	b01-136.png	/094/b01-136.png	1250	1432	for it again: another Royal Wedding. Between
b01-136	b01-136.png	/094/b01-136.png	1432	1610	now and June, when the Duke of Kent will
b01-136	b01-136.png	/094/b01-136.png	1610	1787	marry Miss Worsley, hardly a day will pass
b01-136	b01-136.png	/094/b01-136.png	1787	1970	without a story or a picture or probably both,
b01-136	b01-136.png	/094/b01-136.png	1970	2148	about the nuptial arrangements.
b01-127	b01-127.png	/094/b01-127.png	694	894	The views of the Archbishop, who has
b01-127	b01-127.png	/094/b01-127.png	894	1070	maintained an unflinching witness to what
b01-127	b01-127.png	/094/b01-127.png	1070	1249	Christianity really means, must carry weight. But
b01-127	b01-127.png	/094/b01-127.png	1249	1428	what, in fact, can the other Commonwealth countries
b01-127	b01-127.png	/094/b01-127.png	1428	1607	do to bring support and comfort to this gallant
b01-127	b01-127.png	/094/b01-127.png	1607	1785	minority? THERE is no evidence that the
b01-127	b01-127.png	/094/b01-127.png	1785	1968	policy of appeasement has modified the
b01-127	b01-127.png	/094/b01-127.png	1968	2146	actions of the Nationalists. On the contrary,
b01-127	b01-127.png	/094/b01-127.png	2146	2334	apartheid is being applied ever more
b01-127	b01-127.png	/094/b01-127.png	2334	2488	ruthlessly.
b01-132	b01-132.png	/094/b01-132.png	698	892	The shock of expulsion from the
b01-132	b01-132.png	/094/b01-132.png	892	1069	Commonwealth now seems to be the only
b01-132	b01-132.png	/094/b01-132.png	1069	1247	way left to try to bring home to the people of
b01-132	b01-132.png	/094/b01-132.png	1247	1424	South Africa that Dr. Verwoerd is leading them
